Wijk,bicycle,cargo_bicycle,moped,scooter
Da Costabuurt,0.0,0.0,3.0,0.0
Westindische Buurt,0.0,0.0,10.0,0.0
Schinkelbuurt,0.0,0.0,3.0,0.0
Willemspark,0.0,0.0,1.0,0.0
Museumkwartier,0.0,0.0,9.0,0.0
Oude Pijp,0.0,3.0,32.0,0.0
Nieuwe Pijp,5.0,1.0,26.0,0.0
Stadionbuurt,17.0,0.0,16.0,0.0
Apollobuurt,1.0,0.0,7.0,0.0
Scheldebuurt,5.0,1.0,36.0,0.0
IJselbuurt,0.0,6.0,6.0,0.0
Rijnbuurt,0.0,3.0,13.0,0.0
Van Lennepbuurt,0.0,0.0,5.0,0.0
Prinses Irenebuurt e.o.,6.0,0.0,1.0,0.0
Zuidas,37.0,1.0,13.0,0.0
Buitenveldert-West,11.0,1.0,19.0,0.0
Buitenveldert-Oost,7.0,0.0,6.0,0.0
Overtoomse Sluis,0.0,0.0,6.0,0.0
Helmersbuurt,0.0,0.0,4.0,0.0
Vondelparkbuurt,0.0,1.0,2.0,0.0
Haarlemmerbuurt,0.0,1.0,7.0,0.0
Slotervaart-Zuid,8.0,0.0,1.0,0.0
Jordaan,0.0,0.0,24.0,0.0
Grachtengordel-West,0.0,0.0,9.0,0.0
Westlandgracht,1.0,0.0,9.0,0.0
Sloten/Nieuw-Sloten,9.0,0.0,20.0,0.0
Oostelijk Havengebied,26.0,12.0,25.0,0.0
Weesperzijde,5.0,3.0,9.0,0.0
Oosterparkbuurt,15.0,3.0,7.0,0.0
Transvaalbuurt,5.0,1.0,4.0,0.0
Indische Buurt-West,10.0,2.0,10.0,0.0
Indische Buurt-Oost,3.0,1.0,3.0,0.0
Zeeburgereiland/Bovendiep,3.0,3.0,7.0,0.0
IJburg-West,9.0,7.0,21.0,0.0
IJburg-Zuid,8.0,1.0,37.0,0.0
Frankendael,11.0,4.0,15.0,0.0
Middenmeer,11.0,6.0,18.0,0.0
Betondorp,4.0,2.0,0.0,0.0
Omval/Overamstel,3.0,3.0,8.0,0.0
Burgwallen-Nieuwe Zijde,59.0,0.0,9.0,0.0
Burgwallen-Oude Zijde,17.0,0.0,7.0,0.0
Hoofddorppleinbuurt,8.0,0.0,13.0,0.0
Nieuwmarkt/Lastage,0.0,0.0,18.0,0.0
Grachtengordel-Zuid,0.0,0.0,10.0,0.0
De Weteringschans,18.0,0.0,5.0,0.0
Weesperbuurt/Plantage,0.0,3.0,16.0,0.0
Oostelijke Eilanden/Kadijken,0.0,2.0,17.0,0.0
Noordelijke IJ-oevers-West,5.0,1.0,6.0,0.0
Tuindorp Oostzaan,0.0,0.0,2.0,0.0
Elzenhagen,8.0,0.0,24.0,0.0
Buikslotermeer,0.0,0.0,19.0,0.0
Volewijck,0.0,0.0,2.0,0.0
IJplein/Vogelbuurt,0.0,0.0,11.0,0.0
Noordelijke IJ-oevers-Oost,0.0,0.0,1.0,0.0
Sloterdijk Nieuw-West,24.0,0.0,3.0,0.0
Zuid Pijp,2.0,0.0,7.0,0.0
Geuzenveld,15.0,0.0,10.0,0.0
Slotermeer-Noordoost,7.0,0.0,4.0,0.0
Slotermeer-Zuidoost,2.0,0.0,2.0,0.0
Lutkemeer/Ookmeer,0.0,0.0,1.0,0.0
De Aker,0.0,0.0,11.0,0.0
De Punt,0.0,0.0,2.0,0.0
Dapperbuurt,11.0,3.0,9.0,0.0
Amsterdamse Poort e.o.,0.0,0.0,2.0,0.0
H-buurt,0.0,0.0,2.0,0.0
Osdorp-Midden,2.0,0.0,13.0,0.0
Osdorp-Oost,3.0,2.0,5.0,0.0
Slotervaart-Noord,0.0,0.0,6.0,0.0
Overtoomse Veld,12.0,0.0,10.0,0.0
Aetsveld/Oostelijke Vechtoever,0.0,0.0,1.0,0.0
Coenhaven/Minervahaven,4.0,0.0,2.0,0.0
Sloterdijk-West,5.0,1.0,4.0,0.0
Spaarndammerbuurt/Zeeheldenbuurt,0.0,0.0,14.0,0.0
Houthavens,0.0,0.0,2.0,1.0
De Kolenkit,4.0,0.0,5.0,0.0
Landlust,9.0,0.0,15.0,0.0
Erasmuspark,1.0,0.0,8.0,0.0
Centrale Markt,4.0,0.0,7.0,0.0
Staatsliedenbuurt,1.0,0.0,12.0,0.0
Amstel III/Bullewijk,0.0,0.0,21.0,0.0
Frederik Hendrikbuurt,4.0,0.0,10.0,0.0
Van Galenbuurt,0.0,0.0,1.0,0.0
Geuzenbuurt,9.0,1.0,8.0,0.0
Hoofdweg e.o.,5.0,0.0,13.0,0.0
Chassébuurt,4.0,0.0,6.0,0.0
Bellamybuurt,0.0,0.0,8.0,0.0
