week_day,day,bicycle_flux,cargo_bicycle_flux,moped_flux,scooter_flux,id,bicycle_min,bicycle_max,bicycle_diff,cargo_bicycle_min,cargo_bicycle_max,cargo_bicycle_diff,moped_min,moped_max,moped_diff,scooter_min,scooter_max,scooter_diff,bicycle_avg,cargo_bicycle_avg,moped_avg,scooter_avg,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit,population,highest_percentage_age,predicted_mean_disposable_household_income
sunday,0,0.0,0.0,0.0,0.0,Aetsveld/Oostelijke Vechtoever_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Holendrecht Station,10364,Gaasperplas,7942,Amsterdam Holendrecht Station,10576,Gaasperplas,8031,Amsterdam Bijlmer ArenA Station,11934,Gaasperplas,7997,Amsterdam Bijlmer ArenA Station,13299,Gaasperplas,8753.0,4402.0,27 - 65 years (%),39520.1
sunday,0,0.0,0.0,36.0,0.0,Amstel III/Bullewijk_0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,32.375,0.0,Amsterdam Holendrecht Station,719,Station Holendrecht,560,Amsterdam Holendrecht Station,1147,Station Holendrecht,560,Amsterdam Holendrecht Station,695,Station Holendrecht,941,Amsterdam Holendrecht Station,719,Station Holendrecht,560.0,3546.0,18 - 26 years (%),39520.1
sunday,0,0.0,1.0,17.0,0.0,Amsterdamse Poort e.o._0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.4583333333333333,6.166666666666667,0.0,Amsterdam Bijlmer ArenA Station,378,Station Bijlmer ArenA,378,Amsterdam Bijlmer ArenA Station,411,Station Bijlmer ArenA,411,Amsterdam Bijlmer ArenA Station,671,Station Bijlmer ArenA,671,Amsterdam Bijlmer ArenA Station,378,Station Bijlmer ArenA,378.0,8272.0,27 - 65 years (%),39520.1
sunday,0,7.0,0.0,46.0,0.0,Apollobuurt_0,2.0,5.0,3.0,0.0,0.0,0.0,2.0,23.0,21.0,0.0,0.0,0.0,3.4166666666666665,0.0,12.041666666666666,0.0,Amsterdam Zuid Station,1142,Station Zuid,1218,Amsterdam Zuid Station,1029,Station Zuid,1343,Amsterdam Zuid Station,1634,De Pijp,2145,Amsterdam Zuid Station,1902,Station Zuid,1253.0,8825.0,27 - 65 years (%),88559.5
sunday,0,0.0,0.0,0.0,0.0,Banne Buiksloot_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Centraal Station,3905,Noorderpark,1436,Amsterdam Centraal Station,4670,Noorderpark,1633,Amsterdam Sloterdijk Station,10657,Noorderpark,1881,Amsterdam Centraal Station,4919,Noorderpark,1436.0,14806.0,27 - 65 years (%),42139.0
sunday,0,0.0,0.0,30.0,0.0,Bellamybuurt_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,3.7916666666666665,0.0,Amsterdam Lelylaan Station,2814,Postjesweg,1377,Amsterdam Centraal Station,3281,Postjesweg,1495,Amsterdam Lelylaan Station,3136,Postjesweg,1377,Amsterdam Lelylaan Station,3222,Postjesweg,1692.0,6375.0,27 - 65 years (%),41641.0
sunday,0,0.0,6.0,12.0,0.0,Betondorp_0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.8333333333333333,1.2083333333333333,0.0,Amsterdam Science Park Station,1839,Station Diemen-Zuid,1727,Amsterdam Science Park Station,2373,Van der Madeweg,2339,Amsterdam Science Park Station,2794,Amstelstation,2642,Amsterdam Science Park Station,1942,Station Diemen-Zuid,2046.0,3082.0,27 - 65 years (%),37269.6
sunday,0,0.0,0.0,0.0,0.0,Bijlmermuseum_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Bijlmer ArenA Station,2284,Kraaiennest station,550,Amsterdam Bijlmer ArenA Station,2388,Kraaiennest station,897,Amsterdam Bijlmer ArenA Station,2816,Kraaiennest station,2014,Amsterdam Bijlmer ArenA Station,2972,Kraaiennest station,550.0,7793.0,27 - 65 years (%),39520.1
sunday,0,0.0,0.0,0.0,0.0,Bloemendalerpolder_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Holendrecht Station,8136,Gaasperplas,5715,Amsterdam Holendrecht Station,9681,Gein,6608,Amsterdam Bijlmer ArenA Station,11060,Gaasperplas,7554,Amsterdam Science Park Station,8681,Gaasperplas,6473.0,4168.0,27 - 65 years (%),39520.1
sunday,0,0.0,0.0,14.0,0.0,Buikslotermeer_0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,8.833333333333334,0.0,Amsterdam Centraal Station,4279,Noord,1040,Amsterdam Centraal Station,4576,Noord,1355,Amsterdam Muiderpoort Station,7876,Noord,2318,Amsterdam Centraal Station,4040,Noord,1040.0,11794.0,27 - 65 years (%),40916.4
