,Code,Name,Population,0 - 3 years (%),4 - 12 years (%),13 - 17 years (%),18 - 26 years (%),27 - 65 years (%),66 + years (%),Predicted mean disposable household income,Predicted appearance living environment (1-10),Area total (km2),Population density
0,AA,Haarlemmerbuurt,9136.0,2.4,5.1,2.9,11.3,60.0,18.2,48978.1,7.6,0.8145,11216.7
1,AB,Jordaan,19551.0,2.4,4.1,2.2,14.6,60.1,16.6,45338.3,7.5,0.9465,20656.1
2,AC,Grachtengordel-West,6585.0,2.2,3.7,2.5,18.2,57.7,15.7,66560.2,8.2,0.569,11572.9
3,AD,Burgwallen-Nieuwe Zijde,4338.0,1.7,1.6,1.3,26.6,61.8,7.1,44289.6,7.1,0.7284,5955.5
4,AE,Burgwallen-Oude Zijde,4569.0,1.7,2.2,1.1,25.7,59.9,9.4,43223.4,7.1,0.4047,11289.8
5,AF,Nieuwmarkt/Lastage,9913.0,2.3,3.7,2.5,16.9,56.3,18.4,48220.5,7.4,1.0668,9292.3
6,AG,Grachtengordel-Zuid,5865.0,2.1,4.3,2.5,19.3,58.9,12.8,70305.4,7.9,0.6418,9138.4
7,AH,De Weteringschans,7554.0,2.8,4.1,2.6,18.2,59.9,12.4,56162.1,7.6,0.6476999999999999,11662.8
8,AJ,Weesperbuurt/Plantage,7834.0,2.6,4.1,2.7,18.7,55.2,16.8,51759.2,7.6,0.9198000000000001,8517.1
9,AK,Oostelijke Eilanden/Kadijken,14675.0,2.6,5.1,3.2,13.9,60.0,15.3,44698.2,7.4,1.3041,11253.0
10,BA,Havens-West,35.0,2.9,2.9,0.0,,,20.0,39520.1,8.2,25.5629,1.4
11,BB,Coenhaven/Minervahaven,974.0,0.0,0.1,1.1,80.6,18.0,0.2,39520.1,8.2,3.4287,284.1
12,EA,Sloterdijk-West,660.0,5.8,3.5,1.1,8.2,76.7,4.8,48223.9,8.2,1.2116,544.7
