,Wijk,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit
0,Aetsveld/Oostelijke Vechtoever,Amsterdam Holendrecht Station,10364,Gaasperplas,7942,Amsterdam Holendrecht Station,10576,Gaasperplas,8031,Amsterdam Bijlmer ArenA Station,11934,Gaasperplas,7997,Amsterdam Bijlmer ArenA Station,13299,Gaasperplas,8753.0
1,Amstel III/Bullewijk,Amsterdam Holendrecht Station,719,Station Holendrecht,560,Amsterdam Holendrecht Station,1147,Station Holendrecht,560,Amsterdam Holendrecht Station,695,Station Holendrecht,941,Amsterdam Holendrecht Station,719,Station Holendrecht,560.0
2,Amsterdamse Poort e.o.,Amsterdam Bijlmer ArenA Station,378,Station Bijlmer ArenA,378,Amsterdam Bijlmer ArenA Station,411,Station Bijlmer ArenA,411,Amsterdam Bijlmer ArenA Station,671,Station Bijlmer ArenA,671,Amsterdam Bijlmer ArenA Station,378,Station Bijlmer ArenA,378.0
3,Apollobuurt,Amsterdam Zuid Station,1142,Station Zuid,1218,Amsterdam Zuid Station,1029,Station Zuid,1343,Amsterdam Zuid Station,1634,De Pijp,2145,Amsterdam Zuid Station,1902,Station Zuid,1253.0
4,Banne Buiksloot,Amsterdam Centraal Station,3905,Noorderpark,1436,Amsterdam Centraal Station,4670,Noorderpark,1633,Amsterdam Sloterdijk Station,10657,Noorderpark,1881,Amsterdam Centraal Station,4919,Noorderpark,1436.0
5,Bellamybuurt,Amsterdam Lelylaan Station,2814,Postjesweg,1377,Amsterdam Centraal Station,3281,Postjesweg,1495,Amsterdam Lelylaan Station,3136,Postjesweg,1377,Amsterdam Lelylaan Station,3222,Postjesweg,1692.0
6,Betondorp,Amsterdam Science Park Station,1839,Station Diemen-Zuid,1727,Amsterdam Science Park Station,2373,Van der Madeweg,2339,Amsterdam Science Park Station,2794,Amstelstation,2642,Amsterdam Science Park Station,1942,Station Diemen-Zuid,2046.0
7,Bijlmermuseum,Amsterdam Bijlmer ArenA Station,2284,Kraaiennest station,550,Amsterdam Bijlmer ArenA Station,2388,Kraaiennest station,897,Amsterdam Bijlmer ArenA Station,2816,Kraaiennest station,2014,Amsterdam Bijlmer ArenA Station,2972,Kraaiennest station,550.0
8,Bloemendalerpolder,Amsterdam Holendrecht Station,8136,Gaasperplas,5715,Amsterdam Holendrecht Station,9681,Gein,6608,Amsterdam Bijlmer ArenA Station,11060,Gaasperplas,7554,Amsterdam Science Park Station,8681,Gaasperplas,6473.0
9,Buikslotermeer,Amsterdam Centraal Station,4279,Noord,1040,Amsterdam Centraal Station,4576,Noord,1355,Amsterdam Muiderpoort Station,7876,Noord,2318,Amsterdam Centraal Station,4040,Noord,1040.0
10,Buitenveldert-Oost,Amsterdam RAI Station,861,Station RAI,861,Amsterdam Zuid Station,1528,Europaplein,1364,Amsterdam RAI Station,1252,Station RAI,1252,Amsterdam RAI Station,861,Station RAI,861.0
11,Buitenveldert-West,Amsterdam Zuid Station,994,Station Zuid,1276,Amsterdam Zuid Station,899,Station Zuid,1327,Amsterdam Zuid Station,1562,Amstelveenseweg,2222,Amsterdam Zuid Station,947,Amstelveenseweg,1776.0
12,Burgwallen-Nieuwe Zijde,Amsterdam Centraal Station,1139,Rokin,343,Amsterdam Centraal Station,1333,Rokin,751,Amsterdam Centraal Station,2508,Vijzelgracht,2366,Amsterdam Centraal Station,1540,Rokin,343.0
13,Burgwallen-Oude Zijde,Amsterdam Centraal Station,588,Nieuwmarkt,380,Amsterdam Centraal Station,874,Nieuwmarkt,380,Amsterdam Muiderpoort Station,4249,Waterlooplein,2185,Amsterdam Centraal Station,588,Nieuwmarkt,380.0
14,Centrale Markt,Amsterdam Centraal Station,3132,Jan van Galenstraat,1553,Amsterdam Centraal Station,4149,Jan van Galenstraat,1953,Amsterdam Sloterdijk Station,2866,Jan van Galenstraat,1925,Amsterdam Sloterdijk Station,3740,Jan van Galenstraat,1728.0
15,Chassébuurt,Amsterdam Lelylaan Station,2621,Postjesweg,1184,Amsterdam Lelylaan Station,3095,Postjesweg,1184,Amsterdam Lelylaan Station,3421,Jan van Galenstraat,1394,Amsterdam Lelylaan Station,2829,Postjesweg,1298.0
16,Coenhaven/Minervahaven,Amsterdam Lelylaan Station,2621,Postjesweg,1184,Amsterdam Sloterdijk Station,5352,Isolatorweg,4761,Amsterdam Sloterdijk Station,4463,Station Sloterdijk,3327,Amsterdam Lelylaan Station,2829,Postjesweg,1298.0
17,Da Costabuurt,Amsterdam Centraal Station,2509,Rokin,1633,Amsterdam Centraal Station,2524,Rokin,1729,Amsterdam Zuid Station,3809,Vijzelgracht,2509,Amsterdam Centraal Station,2521,Rokin,2276.0
18,Dapperbuurt,Amsterdam Muiderpoort Station,419,Weesperplein,1614,Amsterdam Muiderpoort Station,426,Wibautstraat,1854,Amsterdam Muiderpoort Station,497,Weesperplein,1832,Amsterdam Muiderpoort Station,419,Weesperplein,1735.0
19,De Aker,Amsterdam Lelylaan Station,4076,Station Lelylaan,4113,Amsterdam Lelylaan Station,4313,Station Lelylaan,4298,Amsterdam Lelylaan Station,4867,Station Lelylaan,4433,Amsterdam Lelylaan Station,4805,Station Lelylaan,4756.0
20,De Kolenkit,Amsterdam Sloterdijk Station,1393,Burg. De Vlugtlaan,262,Amsterdam Sloterdijk Station,2001,Burg. De Vlugtlaan,260,Amsterdam Sloterdijk Station,1854,Burg. De Vlugtlaan,260,Amsterdam Sloterdijk Station,1384,Burg. De Vlugtlaan,262.0
21,De Punt,Amsterdam Lelylaan Station,3899,Station Lelylaan,3804,Amsterdam Lelylaan Station,4171,Station Lelylaan,3943,Amsterdam Lelylaan Station,4955,Station Lelylaan,4521,Amsterdam Lelylaan Station,4079,Station Lelylaan,4030.0
22,De Weteringschans,Amsterdam Centraal Station,2287,Vijzelgracht,124,Amsterdam Centraal Station,2532,Vijzelgracht,258,Amsterdam Muiderpoort Station,3604,Vijzelgracht,1120,Amsterdam Centraal Station,2540,Vijzelgracht,124.0
23,Driemond,Amsterdam Holendrecht Station,5249,Gaasperplas,2828,Amsterdam Holendrecht Station,5428,Gaasperplas,2882,Amsterdam Bijlmer ArenA Station,7092,Gaasperplas,3154,Amsterdam Bijlmer ArenA Station,7443,Gaasperplas,2897.0
24,Elzenhagen,Amsterdam Centraal Station,3983,Noord,1022,Amsterdam Centraal Station,4056,Noord,1615,Amsterdam Muiderpoort Station,11650,Noord,1989,Amsterdam Centraal Station,3807,Noord,1022.0
