Polygon,0,1
1,moped,2.0
3,moped,3.0
4,moped,16.0
5,cargo_bicycle,4.0
5,moped,5.0
6,bicycle,4.0
6,cargo_bicycle,2.0
6,moped,2.0
8,bicycle,9.0
8,moped,9.0
9,bicycle,4.0
9,moped,8.0
10,bicycle,8.0
10,cargo_bicycle,11.0
11,cargo_bicycle,7.0
11,moped,1.0
12,cargo_bicycle,3.0
12,moped,9.0
13,moped,2.0
14,bicycle,6.0
14,moped,12.0
15,bicycle,36.0
15,cargo_bicycle,2.0
15,moped,70.0
16,bicycle,12.0
16,moped,26.0
17,bicycle,13.0
17,moped,2.0
18,moped,1.0
19,moped,2.0
20,moped,5.0
21,cargo_bicycle,1.0
21,moped,8.0
22,bicycle,6.0
22,moped,11.0
23,moped,23.0
24,cargo_bicycle,1.0
24,moped,13.0
25,bicycle,3.0
25,moped,11.0
26,bicycle,7.0
26,moped,49.0
27,bicycle,27.0
27,cargo_bicycle,7.0
27,moped,35.0
28,bicycle,9.0
28,cargo_bicycle,3.0
28,moped,13.0
29,bicycle,26.0
29,cargo_bicycle,3.0
29,moped,5.0
30,bicycle,2.0
30,cargo_bicycle,2.0
30,moped,2.0
31,bicycle,4.0
31,cargo_bicycle,2.0
31,moped,3.0
32,bicycle,4.0
32,cargo_bicycle,2.0
32,moped,1.0
33,bicycle,7.0
33,cargo_bicycle,1.0
33,moped,8.0
34,bicycle,12.0
34,cargo_bicycle,3.0
34,moped,23.0
36,bicycle,9.0
36,moped,21.0
37,bicycle,24.0
37,cargo_bicycle,6.0
37,moped,10.0
38,bicycle,10.0
38,cargo_bicycle,4.0
38,moped,17.0
39,bicycle,4.0
39,cargo_bicycle,2.0
40,bicycle,1.0
40,moped,6.0
41,bicycle,40.0
41,moped,10.0
42,bicycle,8.0
42,moped,2.0
43,bicycle,11.0
43,moped,18.0
44,moped,12.0
45,moped,12.0
46,bicycle,16.0
46,moped,6.0
47,cargo_bicycle,2.0
47,moped,23.0
48,cargo_bicycle,2.0
48,moped,12.0
50,bicycle,5.0
50,moped,2.0
54,moped,2.0
55,bicycle,9.0
55,moped,24.0
56,moped,7.0
58,moped,7.0
59,moped,13.0
65,bicycle,21.0
65,moped,6.0
66,bicycle,1.0
66,cargo_bicycle,1.0
66,moped,1.0
67,bicycle,13.0
67,moped,11.0
68,moped,1.0
69,bicycle,7.0
69,moped,7.0
70,moped,2.0
71,moped,8.0
72,moped,7.0
73,moped,2.0
74,bicycle,4.0
74,cargo_bicycle,2.0
75,moped,6.0
76,moped,2.0
85,bicycle,2.0
85,moped,10.0
86,bicycle,4.0
86,moped,8.0
88,bicycle,8.0
88,moped,10.0
94,bicycle,1.0
94,moped,23.0
95,bicycle,1.0
95,cargo_bicycle,1.0
95,moped,18.0
96,moped,10.0
97,moped,7.0
97,scooter,1.0
98,bicycle,1.0
98,moped,4.0
99,bicycle,6.0
99,moped,3.0
100,bicycle,1.0
100,moped,1.0
101,bicycle,6.0
101,moped,18.0
102,bicycle,1.0
102,moped,3.0
103,moped,39.0
104,bicycle,4.0
104,moped,2.0
105,moped,2.0
106,bicycle,2.0
106,cargo_bicycle,1.0
106,moped,1.0
107,moped,2.0
108,bicycle,3.0
108,cargo_bicycle,1.0
109,moped,1.0
