0,1,Polygon
moped,4.0,0
moped,4.0,1
bicycle,1.0,2
moped,2.0,2
moped,1.0,3
moped,6.0,4
cargo_bicycle,2.0,5
moped,3.0,5
bicycle,3.0,6
cargo_bicycle,3.0,6
moped,3.0,6
moped,1.0,7
bicycle,14.0,8
moped,4.0,8
bicycle,12.0,9
moped,9.0,9
bicycle,9.0,10
cargo_bicycle,10.0,10
moped,13.0,10
cargo_bicycle,7.0,11
moped,2.0,11
cargo_bicycle,4.0,12
moped,10.0,12
moped,3.0,13
bicycle,10.0,14
moped,15.0,14
bicycle,26.0,15
cargo_bicycle,1.0,15
moped,75.0,15
bicycle,23.0,16
cargo_bicycle,1.0,16
moped,12.0,16
bicycle,14.0,17
moped,5.0,17
moped,1.0,18
moped,1.0,19
moped,2.0,20
cargo_bicycle,1.0,21
moped,7.0,21
bicycle,13.0,22
moped,6.0,22
moped,7.0,23
cargo_bicycle,1.0,24
moped,5.0,24
bicycle,6.0,25
moped,9.0,25
bicycle,13.0,26
moped,44.0,26
bicycle,42.0,27
cargo_bicycle,8.0,27
moped,20.0,27
bicycle,3.0,28
cargo_bicycle,2.0,28
moped,8.0,28
bicycle,30.0,29
cargo_bicycle,5.0,29
moped,4.0,29
bicycle,5.0,30
cargo_bicycle,4.0,30
moped,2.0,30
bicycle,5.0,31
cargo_bicycle,2.0,31
moped,2.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
moped,1.0,32
bicycle,8.0,33
cargo_bicycle,1.0,33
moped,3.0,33
bicycle,25.0,34
cargo_bicycle,4.0,34
moped,21.0,34
bicycle,14.0,36
moped,23.0,36
bicycle,23.0,37
cargo_bicycle,6.0,37
moped,16.0,37
bicycle,11.0,38
cargo_bicycle,7.0,38
moped,17.0,38
bicycle,3.0,39
cargo_bicycle,2.0,39
bicycle,10.0,40
cargo_bicycle,2.0,40
moped,9.0,40
bicycle,37.0,41
moped,24.0,41
bicycle,17.0,42
moped,3.0,42
bicycle,10.0,43
moped,20.0,43
moped,10.0,44
moped,10.0,45
bicycle,20.0,46
cargo_bicycle,2.0,47
moped,14.0,47
cargo_bicycle,2.0,48
moped,6.0,48
bicycle,5.0,50
moped,4.0,50
bicycle,4.0,55
moped,23.0,55
moped,9.0,56
cargo_bicycle,1.0,58
moped,2.0,59
bicycle,17.0,65
moped,13.0,65
bicycle,1.0,66
moped,2.0,66
bicycle,17.0,67
moped,8.0,67
bicycle,2.0,69
moped,5.0,69
bicycle,3.0,70
moped,6.0,71
moped,6.0,72
moped,2.0,73
bicycle,6.0,74
cargo_bicycle,4.0,74
moped,2.0,74
moped,8.0,75
moped,1.0,76
moped,6.0,85
bicycle,4.0,86
cargo_bicycle,2.0,86
moped,10.0,86
moped,1.0,87
bicycle,14.0,88
moped,25.0,88
bicycle,2.0,94
moped,17.0,94
bicycle,9.0,95
cargo_bicycle,2.0,95
moped,8.0,95
moped,3.0,96
moped,3.0,97
scooter,1.0,97
bicycle,11.0,99
moped,8.0,99
bicycle,1.0,100
moped,2.0,100
bicycle,6.0,101
moped,19.0,101
bicycle,3.0,102
moped,13.0,102
moped,36.0,103
bicycle,3.0,104
moped,4.0,104
moped,9.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
bicycle,5.0,107
moped,5.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,2.0,108
moped,8.0,109
