Feature,Importance
population,0.21501431712156927
index_Burgwallen-Nieuwe Zijde,0.11257357742535676
nearest_train_station_distance_transit,0.07789307580267951
predicted_mean_disposable_household_income,0.0760930645161116
index_Zuidas,0.05748121215362008
nearest_train_station_distance_driving,0.04287106986795501
nearest_train_station_distance_bicycling,0.03802749827152714
transit_Station Holendrecht,0.027705487501062668
nearest_train_station_distance_walking,0.027467997207693582
transit_Heemstedestraat,0.026874188610653164
index_Amstel III/Bullewijk,0.02564823160311882
nearest_metro_station_distance_driving,0.0228393677948633
nearest_metro_station_distance_transit,0.021642303251678586
index_IJburg-Zuid,0.019065599913538157
nearest_metro_station_distance_walking,0.016714263535472545
index_De Weteringschans,0.014201142820046116
nearest_metro_station_distance_bicycling,0.012626133557226686
bicycling_Amsterdam Muiderpoort Station,0.011088095936225584
walking_Amsterdam Muiderpoort Station,0.01077483518365679
bicycling_Centraal Station,0.007750011752100345
index_Oostelijk Havengebied,0.006662127654500907
index_Oosterparkbuurt,0.004965908535104705
day_sunday,0.004445738377194336
transit_Amsterdam Zuid Station,0.003892847942972736
day_tuesday,0.0037247848553126546
day_wednesday,0.003277610277512594
index_Sloterdijk Nieuw-West,0.0032274977404690443
bicycling_Amsterdam Sloterdijk Station,0.003124642921602252
bicycling_Amsterdam Zuid Station,0.0028682008339713937
walking_Wibautstraat,0.0028187593947304823
day_monday,0.002724200734894468
bicycling_Isolatorweg,0.0024994600930732963
driving_Amsterdam Muiderpoort Station,0.002407106255851873
driving_Amstelveenseweg,0.0019795859852776224
bicycling_Amsterdam Lelylaan Station,0.0019605623627435846
day_saturday,0.0019410411229885047
walking_Nieuwmarkt,0.0018869527724576912
driving_Amsterdam Sloterdijk Station,0.0017949335703914
transit_Amsterdam Lelylaan Station,0.0017669791730286438
transit_Amsterdam Centraal Station,0.0017140034298254504
transit_Amsterdam Muiderpoort Station,0.0016206826454272128
transit_Amstelveenseweg,0.0016081062894788142
walking_Amsterdam Centraal Station,0.0015723907337109968
age_group_18 - 26 years (%),0.0015438715321555907
walking_Amsterdam Science Park Station,0.0014991246045207374
driving_Henk Sneevlietweg,0.0014904677912607168
driving_Amsterdam RAI Station,0.0014474964760453595
index_Buikslotermeer,0.0013390347746232633
driving_Amsterdam Lelylaan Station,0.0013092377298247668
day_thursday,0.0012990182372399433
walking_Amsterdam Lelylaan Station,0.0012527426077757228
bicycling_Amsterdam RAI Station,0.0012022587068000635
bicycling_Amsterdam Centraal Station,0.001182036474322501
index_Centrale Markt,0.0011654434578184658
driving_Station Lelylaan,0.0011497285836954891
index_IJselbuurt,0.001073999578091412
driving_Amstelstation,0.0010646178699810652
bicycling_Nieuwmarkt,0.0010389710853006915
bicycling_Amstelstation,0.0010162957865843024
transit_Rokin,0.000998866413667776
walking_Amstelstation,0.0009551981967459712
transit_Amsterdam Sloterdijk Station,0.0009334331347345108
index_Burgwallen-Oude Zijde,0.0009305191736282321
bicycling_Burg. De Vlugtlaan,0.0009116508804698549
transit_Nieuwmarkt,0.0008894557406006192
walking_Station Ganzenhoef,0.00087613631248741
bicycling_Henk Sneevlietweg,0.0008506774684920933
walking_Vijzelgracht,0.0008390465113877686
bicycling_Amsterdam Science Park Station,0.0008037058360561558
driving_Burg. De Vlugtlaan,0.000791371443072095
