Feature,Importance
nearest_train_station_distance_driving,0.18330321586601864
predicted_mean_disposable_household_income,0.13307263148144208
nearest_train_station_distance_bicycling,0.1008848012614835
population,0.08136842911903089
nearest_train_station_distance_walking,0.07613548226388071
index_Burgwallen-Nieuwe Zijde,0.05320848110311978
nearest_train_station_distance_transit,0.040559195019643425
age_group_18 - 26 years (%),0.02666390373800086
nearest_metro_station_distance_transit,0.02499088966841692
index_Zuidas,0.024804156708850545
day_wednesday,0.020336703809543652
day_sunday,0.01825781125949914
nearest_metro_station_distance_driving,0.018093188231472768
transit_Rokin,0.017722237169496852
age_group_27 - 65 years (%),0.01534203488375826
day_thursday,0.012968425199845373
day_saturday,0.012076123823836254
transit_Amsterdam Lelylaan Station,0.009883720325635989
day_tuesday,0.009432938905158656
driving_Station Lelylaan,0.008260787301685725
nearest_metro_station_distance_walking,0.006307644301367473
day_monday,0.005681640535706712
nearest_metro_station_distance_bicycling,0.0048616329517849515
index_Noordelijke IJ-oevers-Oost,0.00478887892454963
day_friday,0.003953187731301884
index_De Weteringschans,0.0036388977127106495
index_Noordelijke IJ-oevers-West,0.00300866399201239
driving_Amsterdam Muiderpoort Station,0.002868320640002915
walking_Vijzelgracht,0.0026780338088172764
index_Oosterparkbuurt,0.0026189165769155928
driving_Waterlooplein,0.0024623384447074407
bicycling_Station Lelylaan,0.002234734169063307
driving_Vijzelgracht,0.0021749511909891135
transit_Heemstedestraat,0.0018688667094394092
walking_Amsterdam Sloterdijk Station,0.0018429273986288932
index_Slotermeer-West,0.0018308927368843263
bicycling_Amsterdam Muiderpoort Station,0.0017149058258070747
walking_Henk Sneevlietweg,0.0015041126207423936
transit_Amsterdam Sloterdijk Station,0.001489045103567663
index_Weesperbuurt/Plantage,0.0014495928923971516
transit_Amsterdam Centraal Station,0.001347845750973244
walking_Amsterdam Holendrecht Station,0.0013202662241458328
index_IJburg-West,0.001271932312645872
walking_Station Lelylaan,0.0012716245107387216
walking_Amsterdam Muiderpoort Station,0.001112778726586465
index_Grachtengordel-Zuid,0.001102901595601381
index_Sloten/Nieuw-Sloten,0.0010795779831485341
index_Buikslotermeer,0.0010512698221489614
driving_Burg. De Vlugtlaan,0.001026015450997851
index_Stadionbuurt,0.0010249922865620514
driving_Amsterdam Sloterdijk Station,0.0009923889848402572
