Feature,Importance
population,0.141204951218515
nearest_train_station_distance_driving,0.10659329109010392
index_Burgwallen-Nieuwe Zijde,0.09047718402414129
predicted_mean_disposable_household_income,0.07678577328744782
nearest_train_station_distance_transit,0.06355375095568586
nearest_train_station_distance_walking,0.0569338147401482
nearest_train_station_distance_bicycling,0.05631324831648295
index_Zuidas,0.041854121102749865
index_Amstel III/Bullewijk,0.0216646452696205
day_sunday,0.020933877028950238
nearest_metro_station_distance_transit,0.01763819985534145
transit_Station Holendrecht,0.01646572347680776
age_group_18 - 26 years (%),0.014254451513191184
nearest_metro_station_distance_driving,0.013353424451124878
index_Oosterparkbuurt,0.012826641803109573
day_thursday,0.010890006244471055
day_saturday,0.01088408487025812
day_tuesday,0.010205250882376529
walking_Station Ganzenhoef,0.01016971312720055
day_wednesday,0.00981496019362309
nearest_metro_station_distance_bicycling,0.009695403788761133
index_Oostelijk Havengebied,0.008603924681440204
index_De Weteringschans,0.008474987035212506
nearest_metro_station_distance_walking,0.008376627304010975
bicycling_Centraal Station,0.008334167601066464
index_IJburg-Zuid,0.006813187371179967
transit_Station Ganzenhoef,0.006495707902104701
index_Elzenhagen,0.00630748209333487
day_monday,0.006253849771357045
driving_Station Lelylaan,0.006177090716098394
bicycling_Amsterdam Muiderpoort Station,0.006126680848299524
day_friday,0.005537471923679301
transit_Rokin,0.005535672656947021
walking_Amsterdam Muiderpoort Station,0.004528205587735244
driving_Station Sloterdijk,0.004266215700125966
walking_Station Lelylaan,0.0035729939418886773
index_Buikslotermeer,0.0032362753325364656
transit_Heemstedestraat,0.0032036838996362506
bicycling_Amsterdam Lelylaan Station,0.0025863058025850684
index_Grachtengordel-Zuid,0.0025234801103459674
age_group_27 - 65 years (%),0.0023208988421959485
transit_Amsterdam Muiderpoort Station,0.00227880905405529
index_Geuzenveld,0.0021801087510753205
transit_Amsterdam Centraal Station,0.0021729635364163445
transit_Amsterdam Lelylaan Station,0.002106659409510206
bicycling_Station Lelylaan,0.002067325206266304
transit_Station Lelylaan,0.00195576830806501
index_Slotervaart-Noord,0.001829887455225748
driving_Amsterdam Muiderpoort Station,0.001518933881228283
driving_Amsterdam Lelylaan Station,0.0013663017825085088
transit_Amsterdam Zuid Station,0.0013366548026699846
index_De Aker,0.0012739650674412066
walking_Amsterdam Centraal Station,0.001254641273889745
walking_Amsterdam Lelylaan Station,0.0012036394277847404
driving_Vijzelgracht,0.0011533849043863912
index_Nieuwmarkt/Lastage,0.0011369076064103355
bicycling_Burg. De Vlugtlaan,0.0010686096250430213
walking_Wibautstraat,0.0010543211486654632
transit_Amstelstation,0.0010493046262312347
driving_Amstelveenseweg,0.000991230089436416
walking_Amstelstation,0.0009822287625774033
walking_Amsterdam Sloterdijk Station,0.000982020514152789
index_Noordelijke IJ-oevers-Oost,0.0009746904737596022
index_Centrale Markt,0.0009289018049465056
bicycling_Amsterdam Holendrecht Station,0.000880484069442303
driving_Amsterdam Zuid Station,0.000844656455564041
bicycling_Station Sloterdijk,0.0008421788080406712
index_Weesperzijde,0.0008314639944893293
driving_Waterlooplein,0.0008178315750156239
walking_Amstelveenseweg,0.0008143829147675522
driving_Amsterdam Sloterdijk Station,0.0008136719631671158
transit_Jan van Galenstraat,0.000807784126205072
bicycling_Amsterdam Centraal Station,0.0007935989054793825
bicycling_Jan van Galenstraat,0.0007648418420181677
walking_Amsterdam Zuid Station,0.0007464618419908337
driving_Nieuwmarkt,0.000722849424902975
driving_Amsterdam RAI Station,0.0007144115578759533
transit_Amstelveenseweg,0.0007025099108791343
driving_Burg. De Vlugtlaan,0.0006928623969450874
bicycling_Amsterdam Zuid Station,0.0006834602016589791
index_Sloterdijk Nieuw-West,0.0006819532387369891
bicycling_Amsterdam Sloterdijk Station,0.0006689320399312879
walking_Amsterdam Science Park Station,0.00066787883805251
transit_Amsterdam Sloterdijk Station,0.0006619288536603986
walking_Jan van Galenstraat,0.0006581847759501779
index_Noordelijke IJ-oevers-West,0.0006220673546867652
index_Landlust,0.0006135851419788413
index_Frankendael,0.0006130205840227894
walking_Amsterdam Holendrecht Station,0.0005799626107748093
index_Stadionbuurt,0.0005613611355299833
transit_Postjesweg,0.0005514650167262381
bicycling_Postjesweg,0.0005295457179106333
driving_Jan van Galenstraat,0.0004972442819576328
driving_Amstelstation,0.000478615306297078
bicycling_Noorderpark,0.00047615265629955217
transit_Station Sloterdijk,0.0004677431526532129
walking_Burg. De Vlugtlaan,0.0004673053881636394
transit_Europaplein,0.00046227344845076873
bicycling_Europaplein,0.00044943662379658453
index_Weesperbuurt/Plantage,0.00044390670917737165
driving_Isolatorweg,0.00043788918267389
driving_Amsterdam Holendrecht Station,0.0004378367799821954
bicycling_Amstelstation,0.0004372434033682571
bicycling_Amsterdam Science Park Station,0.0004302432861323327
bicycling_Isolatorweg,0.0004249439936430875
walking_Henk Sneevlietweg,0.0004235780907406069
driving_Henk Sneevlietweg,0.0004227401120134605
index_Coenhaven/Minervahaven,0.0004162267306067072
bicycling_Nieuwmarkt,0.0004014728770097629
driving_Gein,0.00039895137258039
driving_Centraal Station,0.0003888345164192349
driving_Europaplein,0.00038861696720653475
index_IJselbuurt,0.0003869508432070494
walking_Vijzelgracht,0.00038269051489668734
bicycling_Amstelveenseweg,0.0003601217607881168
walking_Amsterdam RAI Station,0.0003474179737209088
bicycling_Station Zuid,0.00034425109072004666
index_Museumkwartier,0.0003387835742004246
bicycling_Vijzelgracht,0.0003333843574273971
transit_Burg. De Vlugtlaan,0.00032383280405589383
bicycling_Rokin,0.0003118067119531119
bicycling_Amsterdam RAI Station,0.0002999055068819607
index_Omval/Overamstel,0.0002964983095072376
transit_Centraal Station,0.0002944021480754188
index_Amsterdamse Poort e.o.,0.0002926632221677427
transit_Amsterdam Holendrecht Station,0.0002916717729217887
transit_Station Zuid,0.00028990938131406553
bicycling_Gein,0.0002878150514895379
walking_Station Zuid,0.00028606437356862275
driving_Postjesweg,0.00028032196903537027
walking_Station Bijlmer ArenA,0.0002558110665251585
walking_Postjesweg,0.0002542839759866318
bicycling_Henk Sneevlietweg,0.0002528134338020167
index_Gein,0.00024575482858666146
walking_Isolatorweg,0.0002426472172275224
transit_Amsterdam Duivendrecht Station,0.00023852676616574698
walking_Centraal Station,0.0002364698032586519
transit_Wibautstraat,0.00023549298518783421
walking_Station Sloterdijk,0.00022634657855354683
bicycling_Station Bijlmer ArenA,0.0002234651609552199
transit_Station Bijlmer ArenA,0.00022153246553142797
transit_Vijzelgracht,0.00021820054114447492
